,SOURCE,TARGET,POSITION,CATEGORY
0,PT BILITON PRIMA MINERAL,KIRTIADI HOTAMA,DIREKTUR,INDIVIDU
1,PT BILITON PRIMA MINERAL,HAWANTO HARTONO,KOMISARIS,INDIVIDU
2,PT NAGA LASKAR PELANGI,WYLLIANTO,DIREKTUR UTAMA,INDIVIDU
3,PT NAGA LASKAR PELANGI,TJEN JUNG SEN,KOMISARIS UTAMA,INDIVIDU
4,PT NAGA LASKAR PELANGI,IRWANDA,DIREKTUR,INDIVIDU
5,PT NAGA LASKAR PELANGI,ERVAN IFYAN HANSEL,DIREKTUR,INDIVIDU
6,PT NAGA LASKAR PELANGI,URIP BUDIANTO,KOMISARIS,INDIVIDU
7,PT KARUNIA ALAM BERSAMA,CHRISTOPHER PUTRA GUNAWAN,DIREKTUR,INDIVIDU
8,PT KARUNIA ALAM BERSAMA,HARIANTO GUNAWAN,KOMISARIS,INDIVIDU
9,PT BELANTARA JAYA LESTARI,DONY KURNIAWAN,,INDIVIDU
10,PT BELANTARA JAYA LESTARI,HERMANTO,KOMISARIS,INDIVIDU
11,PT BELANTARA JAYA LESTARI,RIDHO FALOMA,DIREKTUR,INDIVIDU
12,PT BELANTARA JAYA LESTARI,PT CANDRA LESTARI SEJAHTERA,BADAN HUKUM,PERUSAHAAN
13,PT BELANTARA JAYA LESTARI,PT TRACO INDOTAMA MANDIRI,BADAN HUKUM,PERUSAHAAN
14,PT BELANTARA JAYA LESTARI,PT BERDIKARI SEJAHTERA SENTOSA,BADAN HUKUM,PERUSAHAAN
15,PT BERKAH SAMUDERA SEMESTA,CHRISTOPHER PUTRA GUNAWAN,DIREKTUR,INDIVIDU
16,PT BERKAH SAMUDERA SEMESTA,HARIANTO GUNAWAN,KOMISARIS,INDIVIDU
17,PT TELAGA INTAN PUTIH,SIGARLAKY ROTINSULU,DIREKTUR,INDIVIDU
18,PT TELAGA INTAN PUTIH,MAUREEN LANIE ESTER ROTINSULU,KOMISARIS,INDIVIDU
19,PT TELAGA INTAN PUTIH,SAMUEL PHILLIPS ROTINSULU,DIREKTUR UTAMA,INDIVIDU
20,PT REZEKI SAMUDERA JAYA,CHRISTOPHER PUTRA GUNAWAN,DIREKTUR,INDIVIDU
21,PT REZEKI SAMUDERA JAYA,HARIANTO GUNAWAN,KOMISARIS,INDIVIDU
22,PT SWAKARSA TAMBANG INDONESIA,HENDRO,KOMISARIS,INDIVIDU
23,PT SWAKARSA TAMBANG INDONESIA,HERMAN BUDIYANTO,DIREKTUR,INDIVIDU
24,PT BATARA PANCAR JAYA MINERAL,LUXOR ANDI WIJAYA,DIREKTUR,INDIVIDU
25,PT BATARA PANCAR JAYA MINERAL,BRAHM PRANATA,KOMISARIS,INDIVIDU
26,PT BATARA PANCAR JAYA MINERAL,LILI HENDRAWATI,KOMISARIS UTAMA,INDIVIDU
27,PT DUTA WATU GEOTEK,ZAINUDDIN,DIREKTUR,INDIVIDU
28,PT DUTA WATU GEOTEK,AMBARSARI DWICAHYANI,KOMISARIS,INDIVIDU
29,PT TIGA BANGUN BERSAMA,EDY SUN,KOMISARIS,INDIVIDU
30,PT TIGA BANGUN BERSAMA,BASIRAN,DIREKTUR,INDIVIDU
31,PT BASKARA SILICA MAKMUR,DJOHAN RIDUAN HASAN,KOMISARIS,INDIVIDU
32,PT BASKARA SILICA MAKMUR,JAMES LOUIS,DIREKTUR,INDIVIDU
33,PT INDAHSANA LESTARI JAYA,HENG ERIK HARVY HENDRIEK,KOMISARIS UTAMA,INDIVIDU
34,PT INDAHSANA LESTARI JAYA,ERMA SUSYLAWATI JOYOATMOJO,DIREKTUR UTAMA,INDIVIDU
35,PT INDAHSANA LESTARI JAYA,NARIMO NUSANTORO,KOMISARIS,INDIVIDU
36,PT INDAHSANA LESTARI JAYA,ANGGUN RIS SUSANTI,DIREKTUR,INDIVIDU
37,PT PASIR BELITUNG UTAMA,TRISNA THESKARTONO,KOMISARIS,INDIVIDU
38,PT PASIR BELITUNG UTAMA,LIENAWATI THES KARTONO,,INDIVIDU
39,PT PASIR BELITUNG UTAMA,DJEMI HAKIM,DIREKTUR,INDIVIDU
40,PT TOMMY UTAMA,TJHANG YEAN TIN,,INDIVIDU
41,PT TOMMY UTAMA,DE BIN LUO,DIREKTUR,INDIVIDU
42,PT TOMMY UTAMA,TEDDY CHANDRA DJOHAN,KOMISARIS,INDIVIDU
43,PT TOMMY UTAMA,PT TOMMY MITRA INVESTAMA,BADAN HUKUM,PERUSAHAAN
44,PT ARCHIE EXPERANZA MANUNGGAL,NARIMO NUSANTORO,KOMISARIS,INDIVIDU
45,PT ARCHIE EXPERANZA MANUNGGAL,HENG ERIK HARVY HENDRIEK,DIREKTUR,INDIVIDU
46,PT ARCHIE EXPERANZA MANUNGGAL,YAYUK SRI RAHAYU,DIREKTUR UTAMA,INDIVIDU
47,PT WAHYU EPAN YUDHISTIRA,WAHYU EPAN YUDHISTIRA,DIREKTUR,INDIVIDU
48,PT ERA ANUGRAH JAYA,ARSYA PRAWIRA BAHARI,DIREKTUR,INDIVIDU
49,PT ERA ANUGRAH JAYA,DIMAS PRATAMA WIDYATMOJO,KOMISARIS UTAMA,INDIVIDU
50,PT ERA ANUGRAH JAYA,IRWIN SAHRONI,KOMISARIS,INDIVIDU
51,PT BELITONG ANUGRAH PERTIWI,DHARMA BUDI SADELI,DIREKTUR UTAMA,INDIVIDU
52,PT BELITONG ANUGRAH PERTIWI,ABRAHAM OKTOVIANUS WATTIMENA,KOMISARIS,INDIVIDU
53,PT BELITONG ANUGRAH PERTIWI,RACHMADD POHAN,KOMISARIS UTAMA,INDIVIDU
54,PT BELITONG ANUGRAH PERTIWI,DODY DAMOS MANGALOI TINAMBUNAN,DIREKTUR,INDIVIDU
55,PT SEJAHTERA UTAMA MITRA JAYA,LAU RENCE,KOMISARIS,INDIVIDU
56,PT SEJAHTERA UTAMA MITRA JAYA,BENNY SUTANTO,DIREKTUR,INDIVIDU
57,PT BABEL RESOURCES,SUTTA DARMA KARNADJAJA,KOMISARIS UTAMA,INDIVIDU
58,PT BABEL RESOURCES,RUDY WIJAYA LIONG,KOMISARIS,INDIVIDU
59,PT BABEL RESOURCES,APE NIAGATA TJANDRA,,INDIVIDU
60,PT BABEL RESOURCES,ANDRIANUS DAVID SIM,DIREKTUR,INDIVIDU
61,PT BABEL RESOURCES,TONI SISWOYUDHO,DIREKTUR UTAMA,INDIVIDU
62,PT BABEL RESOURCES,PT ANT INTERNASIONAL,BADAN HUKUM,PERUSAHAAN
63,PT GARUDA ARTHA RESOURCES,HERRY SANTOSO,DIREKTUR,INDIVIDU
64,PT GARUDA ARTHA RESOURCES,SANTOSO SOETANTO,DIREKTUR UTAMA,INDIVIDU
65,PT GARUDA ARTHA RESOURCES,RATNA SHANTI SOETANTO,KOMISARIS,INDIVIDU
66,PT GARUDA ARTHA RESOURCES,SRI REDJEKI SOETANTO,,INDIVIDU
67,PT TRINUSA SILIKA INDONESIA,DUDY CHRISTIAN,KOMISARIS,INDIVIDU
68,PT TRINUSA SILIKA INDONESIA,ACHMAD FEBBY FADILLAH,KOMISARIS UTAMA,INDIVIDU
69,PT TRINUSA SILIKA INDONESIA,SURIYANTO,DIREKTUR UTAMA,INDIVIDU
70,PT TRINUSA SILIKA INDONESIA,ANDI DEBBI YUDHISTA ASAPA,KOMISARIS,INDIVIDU
71,PT TRINUSA SILIKA INDONESIA,PT TRINUSA BARA UTAMA,BADAN HUKUM,PERUSAHAAN
72,PT TRINUSA SILIKA INDONESIA,PT ENERGITAMA SOLUSINDO LESTARI,BADAN HUKUM,PERUSAHAAN
73,PT TRINUSA SILIKA INDONESIA,AFIN,DIREKTUR,INDIVIDU
74,PT TRINUSA SILIKA INDONESIA,MOHAMMAD GENTHA PUTRA,DIREKTUR,INDIVIDU
75,PT BUMI HERO PERKASA,KARDI DJAJA,KOMISARIS,INDIVIDU
76,PT BUMI HERO PERKASA,SLAMET CIPTO WIJOYO,DIREKTUR,INDIVIDU
77,PT BANGKA TIN INDUSTRY,OCEAN ESSENCE HOLDINGS LIMITED,BADAN HUKUM,INDIVIDU
78,PT BANGKA TIN INDUSTRY,TOGAR SIANIPAR,KOMISARIS,INDIVIDU
79,PT BANGKA TIN INDUSTRY,RICKY GUNAWAN,PRESIDEN DIREKTUR,INDIVIDU
