SOURCE,TARGET,POSITION,CATEGORY
BILITON PRIMA MINERAL,KIRTIADI HOTAMA,DIREKTUR,INDIVIDU
BILITON PRIMA MINERAL,HAWANTO HARTONO,KOMISARIS,INDIVIDU
NAGA LASKAR PELANGI,WYLLIANTO,DIREKTUR UTAMA,INDIVIDU
NAGA LASKAR PELANGI,TJEN JUNG SEN,KOMISARIS UTAMA,INDIVIDU
NAGA LASKAR PELANGI,IRWANDA,DIREKTUR,INDIVIDU
NAGA LASKAR PELANGI,ERVAN IFYAN HANSEL,DIREKTUR,INDIVIDU
NAGA LASKAR PELANGI,URIP BUDIANTO,KOMISARIS,INDIVIDU
KARUNIA ALAM BERSAMA,CHRISTOPHER PUTRA GUNAWAN,DIREKTUR,INDIVIDU
KARUNIA ALAM BERSAMA,HARIANTO GUNAWAN,KOMISARIS,INDIVIDU
BELANTARA JAYA LESTARI,DONY KURNIAWAN,,INDIVIDU
BELANTARA JAYA LESTARI,HERMANTO,KOMISARIS,INDIVIDU
BELANTARA JAYA LESTARI,RIDHO FALOMA,DIREKTUR,INDIVIDU
BELANTARA JAYA LESTARI,PT. CANDRA LESTARI SEJAHTERA,BADAN HUKUM,PERUSAHAAN
BELANTARA JAYA LESTARI,PT. TRACO INDOTAMA MANDIRI,BADAN HUKUM,PERUSAHAAN
BELANTARA JAYA LESTARI,PT. BERDIKARI SEJAHTERA SENTOSA,BADAN HUKUM,PERUSAHAAN
BERKAH SAMUDERA SEMESTA,CHRISTOPHER PUTRA GUNAWAN,DIREKTUR,INDIVIDU
BERKAH SAMUDERA SEMESTA,HARIANTO GUNAWAN,KOMISARIS,INDIVIDU
TELAGA INTAN PUTIH,SIGARLAKY ROTINSULU,DIREKTUR,INDIVIDU
TELAGA INTAN PUTIH,MAUREEN LANIE ESTER ROTINSULU,KOMISARIS,INDIVIDU
TELAGA INTAN PUTIH,SAMUEL PHILLIPS ROTINSULU,DIREKTUR UTAMA,INDIVIDU
REZEKI SAMUDERA JAYA,CHRISTOPHER PUTRA GUNAWAN,DIREKTUR,INDIVIDU
REZEKI SAMUDERA JAYA,HARIANTO GUNAWAN,KOMISARIS,INDIVIDU
SWAKARSA TAMBANG INDONESIA,HENDRO,KOMISARIS,INDIVIDU
SWAKARSA TAMBANG INDONESIA,HERMAN BUDIYANTO,DIREKTUR,INDIVIDU
BATARA PANCAR JAYA MINERAL,LUXOR ANDI WIJAYA,DIREKTUR,INDIVIDU
BATARA PANCAR JAYA MINERAL,BRAHM PRANATA,KOMISARIS,INDIVIDU
BATARA PANCAR JAYA MINERAL,LILI HENDRAWATI,KOMISARIS UTAMA,INDIVIDU
DUTA WATU GEOTEK,ZAINUDDIN,DIREKTUR,INDIVIDU
DUTA WATU GEOTEK,AMBARSARI DWICAHYANI,KOMISARIS,INDIVIDU
TIGA BANGUN BERSAMA,EDY SUN,KOMISARIS,INDIVIDU
TIGA BANGUN BERSAMA,BASIRAN,DIREKTUR,INDIVIDU
