,NAMA_PERUSAHAAN,NIB,NPWP,ALAMAT,NO_TELP,EMAIL,NO_AKTA,NO_SK,JENIS_PERUSAHAAN,STATUS_NIB
582,CV 3G TRUST,220104392145.0,756188991304000.0,"JALAN ALEXANDER, BUKITINTAN, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",0717-9100150,cv.3gtrust@gmail.com,3.0,,,
414,PT ADARA JALA SAMUDERA,712210018919.0,534204680315000.0,"JALAN JENDERAL SUDIRMAN NOMOR 236 LINGKUNGAN SUDIMAMPIR, SUNGAILIAT, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",08122000607,adara.dok@gmail.com,16.0,,Perseroan Terbatas (PT),
1233,PT ADIKARSA JAYA KENCANA,9120005551512.0,911316859657000.0,"JL. DR. WAHIDIN NO. 120 KAV. B, BADAU, KAB. MALANG, JAWA TIMUR",0341425164,adikarsakencana@gmail.com,93.0,,,
444,PT ADITYA BUANA INTER,9120319152161.0,16564593039000.0,"PERTOKOAN TOMANG TOL RAYA A1/14, LANTAI IV, RUANG 401, KEBON JERUK, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",0215807047,pt_aditya_buana_inter@yahoo.com,1950.0,,Perseroan Terbatas (PT),
166,PT AEGA PRIMA,220200602525.0,27624295304000.0,"KOMPLEK INDUSTRI DAN PELABUHAN AIR KANTUNG SUNGALIAT, SUNGAILIAT, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",071796016,info.aegaprima@arsari.co.id,28.0,,Perseroan Terbatas (PT),
259,CV AGUNG SANGUN JAYA,1210210046348.0,24818486304000.0,"JALAN KULAN, GERUNGGANG, KOTA PANGKAL PINANG, KEPULAUAN BANGKA BELITUNG",082280795670,cv.agungsj@gmail.com,1.0,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),
731,PT AIRA SILIKA BILITON,2010230069876.0,507725869018000.0,"JALAN SETIABUDI BARAT, NO. 3, GROGOL PETAMBURAN, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",081380414132,airasilikabiliton@gmail.com,13.0,,Perseroan Terbatas (PT),
824,PT AKAR BUMINDO RESOURCES,1215000131749.0,410890057043000.0,"KIRANA TWO OFFICE TOWER LT. 8, UNIT E, JL. BOULEVARD TIMUR NO. 88, KELAPA GADING, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",02129364412,sukseskaryahutani@yahoo.com,2.0,,,
211,PT ALBETA MAJU SUKSES,9120102861663.0,746321934305000.0,JALAN SUMATERA NOMOR 45 02/01 DAMAR KAB. BELITUNG TIMUR KEPULAUAN BANGKA BELITUNG,082280615808,,,,Perseroan Terbatas (PT),Aktif
510,PT ALBETA SUKSES MAKMUR,808220049339.0,600661482305000.0,"DUSUN DAMAR, DAMAR, KAB. BELITUNG TIMUR, KEPULAUAN BANGKA BELITUNG",082280615808,albetasuksesmakmur@gmail.com,1.0,,Perseroan Terbatas (PT),
352,PT ALDITA KWARSAINDO MAKMUR,220009761149.0,906125836041000.0,"RUKO MITRA BAHARI II BLOK E. 12 JL. PAKIN RAYA NO. 1, PENJARINGAN, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",0216616380,yudianto.psip@yahoo.com,28.0,,Perseroan Terbatas (PT),
826,PT ALDMIC BARA INDONESIA,1011210023836.0,530942853039000.0,"JALAN ARJUNA UTARA NO.9C, KEBON JERUK, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",082168010021,Willy@aldmic.com,10.0,,,
759,PT ALTER ABADI TBK,9120314022236.0,11034857033000.0,"GEDUNG ASEAN TOWER LANTAI 5, JALAN KIAI HAJI SAMANHUDI NOMOR 10, SAWAH BESAR, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",081223855882,legal.alterabadigroup@gmail.com,85.0,,,
477,PT AMIN MAKMUR BERSAMA,220202701077.0,953931730047000.0,"THE SUITES TOWER LANTAI 12, JALAN BOULEVARD PANTAI INDAH KAPUK NOMOR 1, KAV OFS NOMOR 1205, PENJARINGAN, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",02122510550,aminmakmur1212@gmail.com,31.0,,,
0,PT ANEKA KAOLINE UTAMA,8120310082744.0,12769022308000.0,"JL. MURAI RT. 07 RW 11 DUSUN AIR RAYA TIMUR I, TANJUNG PANDAN, KAB. BELITUNG, KEPULAUAN BANGKA BELITUNG",0719-23021,ptanekakaolineutama@gmail.com,74.0,,,
840,PT ANINDITA NATA TIARA,1111240202727.0,312297450043000.0,"JL.RAYA KELAPA HIBRIDA PF-29/10, PEGANGSAAN DUA, KELAPA GADING, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",02145844449,ptaninditanatat@gmail.com,2.0,,,
3,CV ANUGERAH KREATIF MANDIRI,410230060946.0,505934737733000.0,JALAN BRIGADIR JENDERAL HAJI HASAN BASRI NOMOR 21 003/001 TAPIN UTARA KAB. TAPIN KALIMANTAN SELATAN,081251949494,,,,Persekutuan Komanditer (CV / Commanditaire Vennootschap),Aktif
210,PT ANUGERAH KREATIF MANDIRI,9120200892339.0,315187740451000.0,JALAN JADE SELATAN I NOMOR 16. PONDOK HIJAU GOLF. 003/002 KELAPA DUA KAB. TANGERANG BANTEN,0811990756,,,,Perseroan Terbatas (PT),Aktif
648,PT ANUGRAH MINING NUSANTARA,1309230123541.0,503728552027000.0,"CITRA TOWER KEMAYORAN, LEVEL 3 BLOK A6, JL. BENYAMIN SUEB JL. CASA NO.170, KEMAYORAN, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",02165868029,pt.anugrahminingnusantara@gmail.com,10.0,,,
180,PT ARCHIE EXPERANZA MANUNGGAL,220707940111.0,956840342048000.0,"WISMA SMR LT 5 , JL YOS SUDARSO KAV 89  010/011  KOTA ADM. JAKARTA UTARA DKI JAKARTA",081316279168,,,,Perseroan Terbatas (PT),Aktif
845,PT ARIES KENCANA SEJAHTERA,8120213041324.0,708958301315000.0,"JALAN HALMAHERA DUSUN SIGAMBIR, PEMALI, KAB. BANGKA, KEPULAUAN BANGKA BELITUNG",085267447459,aksbangka.tin@gmail.com,11.0,,,
848,PT ARKADIA MANDIRI SEJAHTERA,1110230087224.0,506602499032000.0,"HAYAM WURUK PLAZA TOWER LT. 8, JL. HAYAM WURUK NO. 108, TAMAN SARI, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",081388881406,arkadiamandirisejahtera@gmail.com,1.0,,,
1098,PT ARMADA SAMUDRA PERSADA,276010142358.0,25410499048000.0,"JL.GRIYA UTAMA KOMP. RUKAN PURI MUTIARA BLOK D/115,SUNTER AGUNG,TANJUNG PRIOK,JAKARTA UTARA., SAWAH BESAR, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",02165310268,asp.persada115@gmail.com,48.0,,,
852,PT ARSARI MULTI TAMBANG,220104590459.0,841388168726000.0,"GEDUNG SAHID SUDIRMAN CENTER, LANTAI 50 UNIT C, JALAN JENDRAL SUDIRMAN NO. 86, TANAH ABANG, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",0542735027,corsec_amt@arsari.co.id,38.0,,,
