OBJECTID,PULAU,PEJABAT,ID_PROV,PROVINSI,ID_KAB,KABUPATEN,JENIS_IZIN,BADAN_USAHA,NAMA_PERUSAHAAN,KODE_WIUP,SK_IUP,TANGGAL_BERLAKU,TANGGAL_BERAKHIR,KEGIATAN,LUAS_SK,KOMODITAS,KODE_GOLONGAN,KODE_JNSKOM,CNC,GENERASI,KODE_WIL,LOKASI,GEOMETRY,STATUS_IUP
44,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,"01,05","KABUPATEN BANGKA,KABUPATEN BANGKA BARAT",IUP,PT,PT TIMAH TBK,2119002112014189,81201098819560128                                                                                   ,2025-05-06,2035-07-20,OPERASI PRODUKSI,19510.0,TIMAH,2,11,CNC-1,,,PERAIRAN LAUT CUPAT - BELINYU,"POLYGON ((105.77888888899997 -1.5308333329999755, 105.77888888899997 -1.490555556000004, 105.59694444399997 -1.490555556000004, 105.59694444399997 -1.5222222219999821, 105.52499999999998 -1.5222222219999821, 105.52499999999998 -1.5652777779999951, 105.53861111100002 -1.5652777779999951, 105.53861111100002 -1.560555555999997, 105.53083333299998 -1.560555555999997, 105.53083333299998 -1.5516666670000063, 105.559722222 -1.5516666670000063, 105.559722222 -1.5311111109999729, 105.59055555600003 -1.5311111109999729, 105.59055555600003 -1.5263888889999748, 105.60583333300002 -1.5263888889999748, 105.60583333300002 -1.5361111110000252, 105.60369444399998 -1.5361111110000252, 105.60369444399998 -1.5401388889999907, 105.60222222200002 -1.5401388889999907, 105.60222222200002 -1.556111111000007, 105.61083333300002 -1.556111111000007, 105.61083333300002 -1.5969444439999734, 105.623611111 -1.5969444439999734, 105.623611111 -1.6302777779999928, 105.63638888899999 -1.6302777779999928, 105.63638888899999 -1.6430555559999789, 105.65083333299998 -1.6430555559999789, 105.65083333299998 -1.6533333329999778, 105.686666667 -1.6533333329999778, 105.686666667 -1.556111111000007, 105.65972222200003 -1.556111111000007, 105.65972222200003 -1.5380555560000175, 105.64638888899998 -1.5380555560000175, 105.64638888899998 -1.5244444439999825, 105.70111111099999 -1.5244444439999825, 105.70111111099999 -1.527499999999975, 105.73611111100001 -1.527499999999975, 105.73611111100001 -1.5300555559999793, 105.755861111 -1.5300555559999793, 105.755861111 -1.5308333329999755, 105.77888888899997 -1.5308333329999755))",AKTIF
48,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,04,KABUPATEN BANGKA TENGAH,IUP,PT,PT TIMAH TBK,2119002112014053,81201098819560233                                                                                   ,2025-06-13,2035-07-20,OPERASI PRODUKSI,8981.0,TIMAH,2,11,CNC-1,,,KOBA,"POLYGON ((106.22730555599998 -2.3025555560000157, 106.245805556 -2.3025555560000157, 106.245805556 -2.1216666669999995, 106.177444444 -2.1216666669999995, 106.177444444 -2.1248333330000264, 106.179944444 -2.1248333330000264, 106.179944444 -2.1285833329999946, 106.18241666699998 -2.1285833329999946, 106.18241666699998 -2.130944444000022, 106.17861111100001 -2.130944444000022, 106.17861111100001 -2.1330277779999847, 106.17758333299997 -2.1330277779999847, 106.17758333299997 -2.134527778000006, 106.17655555599998 -2.134527778000006, 106.17655555599998 -2.1422222219999867, 106.17866666700002 -2.1422222219999867, 106.17866666700002 -2.1477499999999736, 106.18766666699997 -2.1477499999999736, 106.18766666699997 -2.156861111000012, 106.185277778 -2.156861111000012, 106.185277778 -2.1607500000000073, 106.18830555599999 -2.1607500000000073, 106.18830555599999 -2.167555556000025, 106.18994444399999 -2.167555556000025, 106.18994444399999 -2.172527778000017, 106.19186111099998 -2.172527778000017, 106.19186111099998 -2.1769722220000176, 106.19330555599998 -2.1769722220000176, 106.19330555599998 -2.178666667000016, 106.197222222 -2.178666667000016, 106.197222222 -2.182555556000011, 106.19941666699998 -2.182555556000011, 106.19941666699998 -2.1874166669999795, 106.200638889 -2.1874166669999795, 106.200638889 -2.1906666670000163, 106.20299999999997 -2.1906666670000163, 106.20299999999997 -2.193638888999999, 106.20447222199999 -2.193638888999999, 106.20447222199999 -2.1993888889999766, 106.20377777800002 -2.1993888889999766, 106.20377777800002 -2.2016388889999803, 106.20641666699998 -2.2016388889999803, 106.20641666699998 -2.2049444439999775, 106.20572222200002 -2.2049444439999775, 106.20572222200002 -2.21016666700001, 106.20627777800001 -2.21016666700001, 106.20627777800001 -2.213444444000004, 106.20583333299999 -2.213444444000004, 106.20583333299999 -2.2191944439999816, 106.207833333 -2.2191944439999816, 106.207833333 -2.224055555999996, 106.211222222 -2.224055555999996, 106.211222222 -2.2295833329999937, 106.21341666699999 -2.2295833329999937, 106.21341666699999 -2.2379722219999962, 106.21633333300002 -2.2379722219999962, 106.21633333300002 -2.2434166670000195, 106.22066666699999 -2.2434166670000195, 106.22066666699999 -2.2474444439999957, 106.22272222200002 -2.2474444439999957, 106.22272222200002 -2.2512500000000273, 106.22577777800001 -2.2512500000000273, 106.22577777800001 -2.259055556000021, 106.22841666699998 -2.259055556000021, 106.22841666699998 -2.261361110999985, 106.22677777799998 -2.261361110999985, 106.22677777799998 -2.2641388889999803, 106.22438888900001 -2.2641388889999803, 106.22438888900001 -2.2674166670000204, 106.222944444 -2.2674166670000204, 106.222944444 -2.2717499999999973, 106.22369444399999 -2.2717499999999973, 106.22369444399999 -2.275666666999996, 106.22474999999997 -2.275666666999996, 106.22474999999997 -2.278861111000026, 106.22583333300003 -2.278861111000026, 106.22583333300003 -2.2914444439999784, 106.22633333300001 -2.2914444439999784, 106.22633333300001 -2.29849999999999, 106.22730555599998 -2.29849999999999, 106.22730555599998 -2.3025555560000157))",AKTIF
63,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,00,4-12 MIL LAUT,IUP,PT,PT MITRA SUKSES GLOBALINDO,2119002112014084,188.44/041/DPE/2012,2012-01-18,2031-12-19,OPERASI PRODUKSI,1393.0,TIMAH DMP,2,11,CNC-1, ,BLOK SANGAU A.3.,NO.6 (4MIL-12MIL GARIS PANTAI) KEPULAUAN BANGKA BELITUNG (LAUT TANJUNG SANGAU),"POLYGON ((105.42000807599999 -1.4841588730000126, 105.42000807599999 -1.5063808730000119, 105.44014707600002 -1.5063808730000119, 105.44014707600002 -1.499991872999999, 105.483064076 -1.499991872999999, 105.483064076 -1.4841588730000126, 105.42000807599999 -1.4841588730000126))",AKTIF
64,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,00,4-12 MIL LAUT,IUP,PT,PT MITRA SUKSES GLOBALINDO,2119002112014085,188.44/044/DPE/2012,2012-01-18,2031-12-19,OPERASI PRODUKSI,1471.0,TIMAH DMP,2,11,CNC-1, ,BLOK SANGAU B.3.,NO.9 (4MIL-12MIL GARIS PANTAI) KEPULAUAN BANGKA BELITUNG (LAUT TANJUNG SANGAU),"POLYGON ((105.48778607600002 -1.4638808720000043, 105.48778607600002 -1.4944358729999863, 105.52020207599998 -1.4944358729999863, 105.52020207599998 -1.4802698729999975, 105.52889707600002 -1.4802698729999975, 105.52889707600002 -1.4691588730000262, 105.53973007600001 -1.4691588730000262, 105.53973007600001 -1.4638808720000043, 105.48778607600002 -1.4638808720000043))",AKTIF
98,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,05,KABUPATEN BANGKA BARAT,IUP,PT,PT TIMAH TBK,3119052112014133,81201098819560167                                                                                   ,2025-04-30,2035-07-20,OPERASI PRODUKSI,150.0,TIMAH,2,11,CNC-3,,,MUNTOK,"POLYGON ((105.19359444399998 -2.070974999999976, 105.19291388900001 -2.070974999999976, 105.19291388900001 -2.069127777999995, 105.19187222199997 -2.069127777999995, 105.19187222199997 -2.0669861110000056, 105.19063888900001 -2.0669861110000056, 105.19063888900001 -2.053413889000012, 105.18492500000002 -2.053413889000012, 105.18492500000002 -2.065533333000019, 105.18635833299999 -2.065533333000019, 105.18635833299999 -2.07404722199999, 105.19359444399998 -2.07404722199999, 105.19359444399998 -2.070974999999976))",AKTIF
105,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,06,KABUPATEN BELITUNG TIMUR,IUP,PT,PT TIMAH TBK,3119062112014085,81201098819560158                                                                                   ,2025-04-22,2035-07-21,OPERASI PRODUKSI,3389.0,TIMAH,2,11,CNC-14,,,MANGGAR,"POLYGON ((108.18577777799999 -2.902861110999993, 108.18577777799999 -2.9133055560000116, 108.19211111099997 -2.9133055560000116, 108.19211111099997 -2.9375833330000205, 108.17572222199999 -2.9375833330000205, 108.17572222199999 -2.9571111110000174, 108.16481944399999 -2.9571111110000174, 108.16481944399999 -2.969175000000007, 108.17144722199998 -2.969175000000007, 108.17144722199998 -2.9635583329999804, 108.179388889 -2.9635583329999804, 108.179388889 -2.966186111000013, 108.192977778 -2.966186111000013, 108.192977778 -2.9730277780000165, 108.21735555599997 -2.9730277780000165, 108.21735555599997 -2.9709944439999845, 108.218472222 -2.9709944439999845, 108.218472222 -2.9295833329999823, 108.23311111100003 -2.9295833329999823, 108.23311111100003 -2.906361111000024, 108.21118055599999 -2.906361111000024, 108.21118055599999 -2.9083666669999957, 108.20246944399997 -2.9083666669999957, 108.20246944399997 -2.904602778000026, 108.20470833299999 -2.904602778000026, 108.20470833299999 -2.902861110999993, 108.18577777799999 -2.902861110999993))",AKTIF
214,SUMATERA,GUBERNUR,19,KEPULAUAN BANGKA BELITUNG,02,BELITUNG,IUP,PT,PT BABEL INTI PERKASA,3119022112014049,188.4/420/ESDM/DPMPTSP/2019,2019-01-07,2028-01-07,OPERASI PRODUKSI,92.1,TIMAH,2,11,CNC-1, , ,"DESA BANTAN, KEC. MEMBALANG, KABUPATEN BELITUNG, KEPULAUAN BANGKA BELITUNG","POLYGON ((107.70716299999998 -2.863609999999994, 107.70717400000001 -2.86850800000002, 107.71024799999998 -2.8685009999999806, 107.71025900000001 -2.8730279999999766, 107.71659499999998 -2.8730130000000145, 107.71657299999998 -2.8635869999999954, 107.70716299999998 -2.863609999999994))",AKTIF
264,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,01,KABUPATEN BANGKA,IUP,PT,PT TIMAH TBK,3119012112014161,81201098819560122                                                                                   ,2025-05-22,2035-07-20,OPERASI PRODUKSI,837.6,TIMAH,2,11,CNC-14,,,SUNGAI LIAT,"POLYGON ((106.02752222200002 -1.6975416669999959, 106.02752222200002 -1.6930027779999932, 106.02521111099998 -1.6930027779999932, 106.02521111099998 -1.6890777780000121, 106.02153333299998 -1.6890777780000121, 106.02153333299998 -1.685305556000003, 106.01504999999997 -1.685305556000003, 106.01504999999997 -1.6879305560000262, 106.01215555599998 -1.6879305560000262, 106.01215555599998 -1.692077777999998, 106.00706944400002 -1.692077777999998, 106.00706944400002 -1.697469443999978, 106.00297499999999 -1.697469443999978, 106.00297499999999 -1.7014333330000113, 105.99791666700003 -1.7014333330000113, 105.99791666700003 -1.7054722220000258, 105.994269444 -1.7054722220000258, 105.994269444 -1.7116666669999745, 106.001652778 -1.7116666669999745, 106.001652778 -1.723669443999995, 105.99811666699998 -1.723669443999995, 105.99811666699998 -1.7320000000000277, 106.006152778 -1.7320000000000277, 106.006152778 -1.7231555559999947, 106.01078888900003 -1.7231555559999947, 106.01078888900003 -1.7118305559999953, 106.01443055599998 -1.7118305559999953, 106.01443055599998 -1.7050361110000267, 106.01256944400001 -1.7050361110000267, 106.01256944400001 -1.699997221999979, 106.01524444400002 -1.699997221999979, 106.01524444400002 -1.695763888999977, 106.019805556 -1.695763888999977, 106.019805556 -1.7084055560000024, 106.02125000000001 -1.7084055560000024, 106.02125000000001 -1.7133000000000038, 106.01974999999999 -1.7133000000000038, 106.01974999999999 -1.719361111000012, 106.02546388899998 -1.719361111000012, 106.02546388899998 -1.7064777780000213, 106.02419166700003 -1.7064777780000213, 106.02419166700003 -1.6975416669999959, 106.02752222200002 -1.6975416669999959))",AKTIF
265,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,02,KABUPATEN BELITUNG,IUP,PT,PT TIMAH TBK,2119002112014176,81201098819560156                                                                                   ,2024-09-30,2035-07-20,OPERASI PRODUKSI,5954.0,TIMAH,2,11,CNC-1,,,TANJUNG PANDAN,"POLYGON ((107.70022222199998 -2.772555555999986, 107.70022222199998 -2.80058333300002, 107.69397222200001 -2.80058333300002, 107.69397222200001 -2.8171111109999742, 107.70444444399999 -2.8171111109999742, 107.70444444399999 -2.8341944439999907, 107.693888889 -2.8341944439999907, 107.693888889 -2.856166667000025, 107.70827777800002 -2.856166667000025, 107.70827777800002 -2.8379444440000157, 107.77605555600002 -2.8379444440000157, 107.77605555600002 -2.8477777780000224, 107.776302778 -2.8477777780000224, 107.776302778 -2.8480722219999848, 107.77671944399998 -2.8480722219999848, 107.77671944399998 -2.848391666999987, 107.776988889 -2.848391666999987, 107.776988889 -2.8485472219999792, 107.77866388899997 -2.8485472219999792, 107.77866388899997 -2.8492222219999803, 107.77894444399999 -2.8492222219999803, 107.77894444399999 -2.8495361110000204, 107.77918888900001 -2.8495361110000204, 107.77918888900001 -2.8498055559999784, 107.77944722199999 -2.8498055559999784, 107.77944722199999 -2.850091667000015, 107.77969444399997 -2.850091667000015, 107.77969444399997 -2.8504055559999983, 107.77991666700001 -2.8504055559999983, 107.77991666700001 -2.8507333329999938, 107.78034166700002 -2.8507333329999938, 107.78034166700002 -2.8513638890000266, 107.78055277800001 -2.8513638890000266, 107.78055277800001 -2.8516805560000194, 107.78087499999998 -2.8516805560000194, 107.78087499999998 -2.852224999999976, 107.78083611099999 -2.852224999999976, 107.78083611099999 -2.8527500000000146, 107.78107222199998 -2.8527500000000146, 107.78107222199998 -2.853038889000004, 107.78131388899999 -2.853038889000004, 107.78131388899999 -2.853330556000003, 107.78140555599998 -2.853330556000003, 107.78140555599998 -2.8541999999999916, 107.781275 -2.8541999999999916, 107.781275 -2.8576083329999733, 107.781408333 -2.8576083329999733, 107.781408333 -2.8589222219999897, 107.78109999999998 -2.8589222219999897, 107.78109999999998 -2.8655916669999897, 107.779872222 -2.8655916669999897, 107.779872222 -2.8687416669999948, 107.779955556 -2.8687416669999948, 107.779955556 -2.870255556000018, 107.78063333300003 -2.870255556000018, 107.78063333300003 -2.877055556000016, 107.80000000000001 -2.877055556000016, 107.80000000000001 -2.8707222219999835, 107.80361111100001 -2.8707222219999835, 107.80361111100001 -2.8665750000000116, 107.799905556 -2.8665750000000116, 107.799905556 -2.8619111109999835, 107.80361111100001 -2.8619111109999835, 107.80361111100001 -2.860777777999999, 107.79730555600003 -2.860777777999999, 107.79730555600003 -2.8562499999999886, 107.79094444399999 -2.8562499999999886, 107.79094444399999 -2.827305555999999, 107.78113888899998 -2.827305555999999, 107.78113888899998 -2.8331666670000004, 107.76766666700001 -2.8331666670000004, 107.76766666700001 -2.805138888999977, 107.77216666700002 -2.805138888999977, 107.77216666700002 -2.798511110999982, 107.770758333 -2.798511110999982, 107.770758333 -2.7981944439999893, 107.76999444400002 -2.7981944439999893, 107.76999444400002 -2.7979055559999892, 107.76991388900001 -2.7979055559999892, 107.76991388900001 -2.797341667000012, 107.76976111099998 -2.797341667000012, 107.76976111099998 -2.7930749999999875, 107.769516667 -2.7930749999999875, 107.769516667 -2.791961110999978, 107.76933333300002 -2.791961110999978, 107.76933333300002 -2.7906666669999822, 107.75191666699999 -2.7906666669999822, 107.75191666699999 -2.7970000000000255, 107.74516666699998 -2.7970000000000255, 107.74516666699998 -2.789305555999988, 107.738 -2.789305555999988, 107.738 -2.781611111000018, 107.71641666699998 -2.781611111000018, 107.71641666699998 -2.772555555999986, 107.70022222199998 -2.772555555999986))",AKTIF
266,SUMATERA,MENTERI,19,KEPULAUAN BANGKA BELITUNG,"71,04","KOTA PANGKAL PINANG,KABUPATEN BANGKA TENGAH",IUP,PT,PT TIMAH TBK,2119002112014023,81201098819560102                                                                                   ,2025-04-22,2035-07-20,OPERASI PRODUKSI,4382.0,TIMAH,2,11,CNC-1,,,PANGKALAN BARU,"POLYGON ((106.20527777799998 -2.209694443999979, 106.20527777799998 -2.2079166670000063, 106.20511111100001 -2.2079166670000063, 106.20511111100001 -2.2033611109999924, 106.20441666699998 -2.2033611109999924, 106.20441666699998 -2.2024166670000227, 106.20333333299999 -2.2024166670000227, 106.20333333299999 -2.199083332999976, 106.20358333299998 -2.199083332999976, 106.20358333299998 -2.197638889000018, 106.20238888900002 -2.197638889000018, 106.20238888900002 -2.193194444000028, 106.200916667 -2.193194444000028, 106.200916667 -2.1913333329999887, 106.19972222199999 -2.1913333329999887, 106.19972222199999 -2.18963888899998, 106.19897222200001 -2.18963888899998, 106.19897222200001 -2.1871944439999993, 106.19880555600002 -2.1871944439999993, 106.19880555600002 -2.1851388889999726, 106.19797222199998 -2.1851388889999726, 106.19797222199998 -2.1834722219999776, 106.195611111 -2.1834722219999776, 106.195611111 -2.1810833330000037, 106.19344444400002 -2.1810833330000037, 106.19344444400002 -2.180888889000016, 106.17630555599999 -2.180888889000016, 106.17630555599999 -2.195805555999982, 106.18200000000002 -2.195805555999982, 106.18200000000002 -2.206166666999991, 106.17497222200001 -2.206166666999991, 106.17497222200001 -2.2119444439999825, 106.16649999999998 -2.2119444439999825, 106.16649999999998 -2.203777778000017, 106.157416667 -2.203777778000017, 106.157416667 -2.1795833329999823, 106.16030555600003 -2.1795833329999823, 106.16030555600003 -2.174055555999985, 106.16644444399998 -2.174055555999985, 106.16644444399998 -2.166888889000006, 106.16992222200003 -2.166888889000006, 106.16992222200003 -2.1600833329999887, 106.163605556 -2.1600833329999887, 106.163605556 -2.1453611109999997, 106.169111111 -2.1453611109999997, 106.169111111 -2.1426944440000284, 106.171333333 -2.1426944440000284, 106.171333333 -2.1382500000000277, 106.17575 -2.1382500000000277, 106.17575 -2.135499999999979, 106.17611111100001 -2.135499999999979, 106.17611111100001 -2.134527778000006, 106.17622222199998 -2.134527778000006, 106.17622222199998 -2.133763889000022, 106.170194444 -2.133763889000022, 106.170194444 -2.140741666999986, 106.169480556 -2.140741666999986, 106.169480556 -2.1419138890000227, 106.16889166700003 -2.1419138890000227, 106.16889166700003 -2.1424166670000204, 106.16851944400003 -2.1424166670000204, 106.16851944400003 -2.143141667000009, 106.16772222200001 -2.143141667000009, 106.16772222200001 -2.14424722199999, 106.16651388899999 -2.14424722199999, 106.16651388899999 -2.1444583329999887, 106.16287222199998 -2.1444583329999887, 106.16287222199998 -2.1611861110000063, 106.16890000000001 -2.1611861110000063, 106.16890000000001 -2.165813888999992, 106.16551666700002 -2.165813888999992, 106.16551666700002 -2.1730944440000144, 106.159438889 -2.1730944440000144, 106.159438889 -2.175725, 106.13639722200003 -2.175725, 106.13639722200003 -2.156111110999973, 106.13566666700001 -2.156111110999973, 106.13566666700001 -2.1499999999999773, 106.146444444 -2.1499999999999773, 106.146444444 -2.1302222219999862, 106.14830555600003 -2.1302222219999862, 106.14830555600003 -2.1223888889999785, 106.14461111100002 -2.1223888889999785, 106.14461111100002 -2.120083333000025, 106.14113888899999 -2.120083333000025, 106.14113888899999 -2.1114166670000145, 106.13511111100001 -2.1114166670000145, 106.13511111100001 -2.105333332999976, 106.12572222199998 -2.105333332999976, 106.12572222199998 -2.109833332999983, 106.12291666700003 -2.109833332999983, 106.12291666700003 -2.114138889000003, 106.12013888899997 -2.114138889000003, 106.12013888899997 -2.1185277779999865, 106.12438888899999 -2.1185277779999865, 106.12438888899999 -2.1166111109999974, 106.12805555599999 -2.1166111109999974, 106.12805555599999 -2.1131388890000267, 106.13544444399997 -2.1131388890000267, 106.13544444399997 -2.121138889000008, 106.13777777799999 -2.121138889000008, 106.13777777799999 -2.1252777779999974, 106.14125000000001 -2.1252777779999974, 106.14125000000001 -2.137999999999977, 106.134194444 -2.137999999999977, 106.134194444 -2.131861110999978, 106.12841666700001 -2.131861110999978, 106.12841666700001 -2.1531388889999903, 106.11811111100002 -2.1531388889999903, 106.11811111100002 -2.1559722220000026, 106.114388889 -2.1559722220000026, 106.114388889 -2.1652222220000112, 106.11247222200001 -2.1652222220000112, 106.11247222200001 -2.1692305560000023, 106.11590277800002 -2.1692305560000023, 106.11590277800002 -2.171625000000006, 106.116663889 -2.171625000000006, 106.116663889 -2.1725888889999965, 106.11838888900002 -2.1725888889999965, 106.11838888900002 -2.1641944439999747, 106.12183333299998 -2.1641944439999747, 106.12183333299998 -2.16061111099998, 106.12377777799998 -2.16061111099998, 106.12377777799998 -2.1566888890000087, 106.13476666700001 -2.1566888890000087, 106.13476666700001 -2.1570194440000137, 106.13549999999998 -2.1570194440000137, 106.13549999999998 -2.1691111110000065, 106.129444444 -2.1691111110000065, 106.129444444 -2.1803333330000214, 106.12588888900001 -2.1803333330000214, 106.12588888900001 -2.1845916670000065, 106.126969444 -2.1845916670000065, 106.126969444 -2.186027777999982, 106.13394444400001 -2.186027777999982, 106.13394444400001 -2.176638889000003, 106.14583333299998 -2.176638889000003, 106.14583333299998 -2.1944722220000017, 106.12838055600002 -2.1944722220000017, 106.12838055600002 -2.1979805560000045, 106.129694444 -2.1979805560000045, 106.129694444 -2.1989166669999918, 106.13238611100002 -2.1989166669999918, 106.13238611100002 -2.200644443999977, 106.13458611099998 -2.200644443999977, 106.13458611099998 -2.2020916669999906, 106.137052778 -2.2020916669999906, 106.137052778 -2.2037333330000024, 106.138230556 -2.2037333330000024, 106.138230556 -2.2045194440000273, 106.13896666699998 -2.2045194440000273, 106.13896666699998 -2.2050138889999857, 106.14077777799997 -2.2050138889999857, 106.14077777799997 -2.2119166670000254, 106.151805556 -2.2119166670000254, 106.151805556 -2.2178055559999734, 106.16424999999998 -2.2178055559999734, 106.16424999999998 -2.22408333300001, 106.16958333299999 -2.22408333300001, 106.16958333299999 -2.2278611109999815, 106.17266666699999 -2.2278611109999815, 106.17266666699999 -2.2309999999999945, 106.17613888900001 -2.2309999999999945, 106.17613888900001 -2.235027778000017, 106.17311111100003 -2.235027778000017, 106.17311111100003 -2.2411388890000126, 106.19772222199998 -2.2411388890000126, 106.19772222199998 -2.2383888890000208, 106.21280555599998 -2.2383888890000208, 106.21280555599998 -2.236861110999996, 106.212361111 -2.236861110999996, 106.212361111 -2.2316111110000065, 106.21172222199999 -2.2316111110000065, 106.21172222199999 -2.230722221999997, 106.21133333300003 -2.230722221999997, 106.21133333300003 -2.2302777780000156, 106.210388889 -2.2302777780000156, 106.210388889 -2.2291666670000154, 106.21002777799998 -2.2291666670000154, 106.21002777799998 -2.228749999999991, 106.20888888899998 -2.228749999999991, 106.20888888899998 -2.226555555999994, 106.20691666699997 -2.226555555999994, 106.20691666699997 -2.2222777779999774, 106.20549999999997 -2.2222777779999774, 106.20549999999997 -2.2186944439999934, 106.20516666700001 -2.2186944439999934, 106.20516666700001 -2.21438888900002, 106.205361111 -2.21438888900002, 106.205361111 -2.213666666999984, 106.20558333299999 -2.213666666999984, 106.20558333299999 -2.2109166669999922, 106.205361111 -2.2109166669999922, 106.205361111 -2.209694443999979, 106.20527777799998 -2.209694443999979))",AKTIF
